路線,路線名稱,方向,站序,中文站點名稱,英文站點名稱,經度,緯度
綠1,松竹旱溪西路口 - 仁友停車場,去程,1,松竹旱溪西路口,Songzhu-Hanxi W. Intersection,120.709928,24.182372
綠1,松竹旱溪西路口 - 仁友停車場,去程,2,捷運舊社站,MRT Jiushe Station,120.707164,24.182364
綠1,松竹旱溪西路口 - 仁友停車場,去程,3,捷運松竹站(北屯路),MRT Songzhu Station(Beitun Road),120.701638,24.181584
綠1,松竹旱溪西路口 - 仁友停車場,去程,4,北新國中,Beixin Junior High School,120.700256,24.178347
綠1,松竹旱溪西路口 - 仁友停車場,去程,5,北屯崇德二路口,Beitun-Chongde 2nd Intersection,120.699024,24.175613
綠1,松竹旱溪西路口 - 仁友停車場,去程,6,特力屋北屯店,B&Q Beitun Branch,120.698306,24.173948
綠1,松竹旱溪西路口 - 仁友停車場,去程,7,北屯文心路口,Beitun-Wenxin Intersection,120.6982,24.171978
綠1,松竹旱溪西路口 - 仁友停車場,去程,8,四維國小,Sihwei Elementary School,120.6969,24.1708
綠1,松竹旱溪西路口 - 仁友停車場,去程,9,文心興安路口,Wenxin-Xingan Intersection,120.694844,24.17115
綠1,松竹旱溪西路口 - 仁友停車場,去程,10,捷運四維國小站,MRT Sihwei Elementary School Station,120.6933335,24.17133928
綠1,松竹旱溪西路口 - 仁友停車場,去程,11,頂二分埔,Ding-er Fenpu,120.691128,24.171023
綠1,松竹旱溪西路口 - 仁友停車場,去程,12,下二分埔,Xiaerfenpu,120.692081,24.16923
綠1,松竹旱溪西路口 - 仁友停車場,去程,13,文昌國小(興安路),Wen Chang Elementary school(Xing'an Road),120.691876,24.167325
綠1,松竹旱溪西路口 - 仁友停車場,去程,14,漢口興安路口,Hankou-Xingan Intersection,120.690065,24.166947
綠1,松竹旱溪西路口 - 仁友停車場,去程,15,漢口熱河路口,Hankou-Rehe Intersection,120.686593,24.166988
綠1,松竹旱溪西路口 - 仁友停車場,去程,16,漢口永興街口,Hankou-Yongxing Intersection,120.683155,24.167052
綠1,松竹旱溪西路口 - 仁友停車場,去程,17,賴厝國小,LaiCuo Elementary School,120.678664,24.167081
綠1,松竹旱溪西路口 - 仁友停車場,去程,18,漢口山西路口,Hankou-Shanxi Intersection,120.675786,24.166995
綠1,松竹旱溪西路口 - 仁友停車場,去程,19,曉明女中(漢口路),Stella Matutina Girls' High School(Hankou Road),120.674142,24.166992
綠1,松竹旱溪西路口 - 仁友停車場,去程,20,漢口漢陽街口,Hankou-Hanyang Intersection,120.671626,24.166892
綠1,松竹旱溪西路口 - 仁友停車場,去程,21,漢口陝西路口,Hankou-Shanxi Intersection,120.668697,24.166885
綠1,松竹旱溪西路口 - 仁友停車場,去程,22,中華國小,Chung Hua Elementary School,120.666213,24.16686
綠1,松竹旱溪西路口 - 仁友停車場,去程,23,三信公園,SanXin Park,120.663431,24.166089
綠1,松竹旱溪西路口 - 仁友停車場,去程,24,寧夏東八街口,Ningxia -E. 8th Intersection,120.661691,24.166222
綠1,松竹旱溪西路口 - 仁友停車場,去程,25,中山國中,Chungshan Junior High School,120.6602583,24.16882
綠1,松竹旱溪西路口 - 仁友停車場,去程,26,捷運文華高中站(寧夏路),MRT Wenhua Senior High School Station(Ningxia Road),120.659482,24.170255
綠1,松竹旱溪西路口 - 仁友停車場,去程,27,捷運文華高中站(文心路),MRT Wenhua Senior High School Station(Wenxin Road),120.658564,24.170949
綠1,松竹旱溪西路口 - 仁友停車場,去程,28,文心甘肅路口,Wenxin-Gansu Intersection,120.655635,24.16929047
綠1,松竹旱溪西路口 - 仁友停車場,去程,29,捷運文心櫻花站(文心路),MRT Wenxin Yinghua Station(Wenxin Road),120.6532874,24.16739129
綠1,松竹旱溪西路口 - 仁友停車場,去程,30,文心青海路口,Wenxin-Qinghai Intersection,120.6516127,24.16573808
