都道府縣,市町村名,名稱,地址,緯度,經度
東京都,台東區,上野観光連盟,上野2丁目1番3号,35.71 ,139.77 
東京都,台東區,浅草観光連盟,花川戸1丁目15番1号,35.71 ,139.80 
東京都,台東區,浅草文化観光センター,雷門2丁目18番9号,35.71 ,139.80 
東京都,台東區,国立西洋美術館,上野公園7番7号,35.72 ,139.78 
東京都,台東區,旧東京音楽学校奏楽堂,上野公園8番43号,35.72 ,139.77 
東京都,台東區,東京藝術大学大学美術館,上野公園12番8号　,35.72 ,139.77 
東京都,台東區,東京都美術館,上野公園8番36号　,35.72 ,139.77 
東京都,台東區,上野の森美術館,上野公園1番2号,35.71 ,139.77 
東京都,台東區,横山大観記念館,池之端1丁目4番24号,35.71 ,139.77 
東京都,台東區,大名時計博物館,谷中2丁目1番27号,35.72 ,139.77 
東京都,台東區,皮革産業資料館,橋場1丁目36番2号産業研修センター内,35.72 ,139.81 
東京都,台東區,国立科学博物館,上野公園7番20号,35.72 ,139.78 
東京都,台東區,江戸たいとう伝統工芸館,浅草2丁目22番13号,35.72 ,139.79 
東京都,台東區,国際子ども図書館,上野公園12-49,35.72 ,139.77 
東京都,台東區,一葉記念館,竜泉3丁目18番4号,35.73 ,139.79 
東京都,台東區,下町風俗資料館付設展示場（旧吉田屋酒店）,上野桜木2-10-6,35.72 ,139.77 
東京都,台東區,下町風俗資料館,上野公園2番1号,35.71 ,139.77 
東京都,台東區,書道博物館,根岸2丁目10番4号,35.72 ,139.78 
東京都,台東區,朝倉彫塑館,谷中7丁目18番10号,35.73 ,139.77 
東京都,台東區,芸術文化財団事務局,北上野2-16-8(台東清掃事務所北上野分室内),35.72 ,139.78 
東京都,台東區,ねぎし三平堂,根岸2丁目10番12号,35.72 ,139.78 
東京都,台東區,東京国立博物館,上野公園13番9号　,35.72 ,139.78 
東京都,台東區,東京文化会館,上野公園5番45号　,35.71 ,139.78 
東京都,台東區,黒田記念館,上野公園13番43号,35.72 ,139.77 
東京都,台東區,たなか舞台芸術スタジオ,台東区日本堤２丁目２５－４,35.73 ,139.80 
東京都,台東區,ふるさと交流ショップ 台東,台東区浅草4丁目36番5号,35.72 ,139.80 
東京都,台東區,世界のカバン博物館,台東区駒形 1丁目8番10号,35.71 ,139.80 
東京都,台東區,日本文具資料館,台東区柳橋1丁目1番15号 （東京文具販売健康保険組合会館１階）,35.70 ,139.79 
東京都,台東區,袋物参考館,台東区浅草橋2丁目4番1号,35.70 ,139.79 
東京都,台東區,上野動物園,台東区上野公園9番83号,35.72 ,139.77 
