名稱,緯度,經度,網址
儘多屋,35.8258 ,139.2898 ,https://mamadaya.com/
奧多摩森林浴場,35.8220 ,139.1172 ,
二俣尾５丁目高源寺前トイレ,35.8182 ,139.2023 ,
沢井３丁目御岳渓谷遊歩道トイレ,35.8053 ,139.1878 ,
小澤酒造,35.8050 ,139.1937 ,http://www.sawanoi-sake.com/
塩船観音寺,35.8047 ,139.2805 ,http://www.shiofunekannonji.or.jp/
櫛かんざし美術館,35.8034 ,139.1968 ,http://kushikanzashi.jp/
柚木苑地駐車場,35.8031 ,139.2077 ,
柚木苑地駐車場トイレ,35.8029 ,139.2074 ,
御岳２丁目神路橋トイレ,35.8016 ,139.1756 ,
御岳交流センター,35.8014 ,139.1845 ,
玉堂美術館,35.8002 ,139.1841 ,http://www.gyokudo.jp/guide.html#info
御岳１丁目駐車場,35.7997 ,139.1852 ,
御岳1丁目駐車場トイレ,35.7996 ,139.1853 ,
御岳苑地駐車場,35.7991 ,139.1776 ,
御岳苑地駐車場トイレ,35.7990 ,139.1778 ,
舊森田家,35.7976 ,139.5330 ,http://www.city.kiyose.lg.jp/s058/map/020/010/hpg000002836.html
青梅丘陵ハイキングコーストイレ,35.7929 ,139.2378 ,
青梅鉄道公園,35.7923 ,139.2632 ,https://www.ejrcf.or.jp/ome/
梅郷４丁目駐車場,35.7897 ,139.2208 ,
中道梅園トイレ,35.7893 ,139.2195 ,
中道梅園,35.7891 ,139.2201 ,
昭和レトロ商品博物館,35.7886 ,139.2605 ,
木原梅園,35.7885 ,139.2190 ,
梅郷４丁目梅郷ゴルフ前トイレ,35.7860 ,139.2158 ,
武蔵御嶽神社,35.7829 ,139.1499 ,http://musashimitakejinja.jp/
清瀨市鄉土博物館,35.7795 ,139.5210 ,http://www.museum-kiyose.jp/index.html
生涯青春之湯滑滑溫泉,35.7795 ,139.1921 ,
都立大泉中央公園,35.7752 ,139.5982 ,
中里郷土の森,35.7692 ,139.6041 ,
北山公園,35.7670 ,139.4601 ,
都立光が丘公園,35.7664 ,139.6295 ,
稲荷山憩いの森,35.7658 ,139.6104 ,
清水山の森,35.7657 ,139.6082 ,
稲荷山図書館 昆虫コーナー,35.7654 ,139.6092 ,
国宝正福寺地蔵堂（※正福寺境内）,35.7647 ,139.4595 ,
正福寺,35.7647 ,139.4595 ,
四季の香ローズガーデン,35.7608 ,139.6258 ,
土支田農業公園,35.7606 ,139.6096 ,
葛飾區山本亭,35.7582 ,139.8802 ,http://www.katsushika-kanko.com/yamamoto/
葛飾柴又寅次郎紀念館,35.7574 ,139.8805 ,http://www.katsushika-kanko.com/tora/
山田洋次博物館,35.7574 ,139.8805 ,http://www.katsushika-kanko.com/yamada-yoji-museum/
都立城北中央公園,35.7559 ,139.6740 ,
田柄梅林公園,35.7552 ,139.6326 ,
大泉交通公園,35.7535 ,139.5722 ,
大泉学園ゆめりあホール,35.7502 ,139.5857 ,
こどもの森,35.7488 ,139.6725 ,
牧野記念庭園,35.7463 ,139.5856 ,
石神井観光案内所,35.7436 ,139.6063 ,
向山庭園,35.7421 ,139.6467 ,
石神井公園ふるさと文化館分室,35.7394 ,139.5942 ,
石神井松の風文化公園,35.7394 ,139.5941 ,
平成つつじ公園,35.7388 ,139.6535 ,
都立石神井公園,35.7384 ,139.5981 ,
ねりま観光案内所,35.7382 ,139.6534 ,
旧内田家住宅,35.7377 ,139.6003 ,
石神井公園ふるさと文化館,35.7374 ,139.5994 ,
練馬区立美術館,35.7370 ,139.6360 ,
江原屋敷森緑地,35.7325 ,139.6726 ,
豊島区観光情報センター,35.7315 ,139.7156 ,
田柄川緑道,35.7314 ,139.7096 ,
としま区民センター インフォメーション,35.7302 ,139.7091 ,
陽光60瞭望台,35.7294 ,139.7185 ,
秋川橋河川公園,35.7292 ,139.2279 ,https://www.akirunokanko.com/?p=307
陽光水族館,35.7290 ,139.7201 ,
