line_name_h,lon,lat
中央新幹線,137.4939 ,35.4114 
東海道新幹線,137.7215 ,35.1441 
山陽新幹線,133.1479 ,34.4193 
東北新幹線,140.7632 ,38.2743 
上越新幹線,139.1215 ,36.7986 
上越新幹線(ガーラ湯沢支線),138.8033 ,36.9429 
山形新幹線,140.1685 ,37.5882 
秋田新幹線,140.3623 ,37.7573 
北陸新幹線,138.0357 ,36.1860 
九州新幹線,130.5768 ,32.7943 
北海道新幹線,140.6442 ,42.0941 
西九州新幹線,130.0229 ,33.1963 
JR函館本線(函館～長万部),140.4834 ,42.2398 
JR函館本線(長万部～小樽),140.6429 ,42.9199 
JR函館本線(小樽～旭川),141.6979 ,43.4151 
JR室蘭本線(長万部・室蘭～苫小牧),141.0064 ,42.5707 
JR室蘭本線(苫小牧～岩見沢),141.7445 ,42.9384 
JR根室本線(滝川～富良野),142.1500 ,43.5000 
JR根室本線(新得～釧路),143.5647 ,42.9657 
JR根室本線(釧路～根室),145.0643 ,43.1276 
JR千歳線,141.5676 ,42.8859 
JR石勝線,142.1208 ,42.9776 
JR日高本線,142.1892 ,42.4395 
JR札沼線,141.6575 ,43.3304 
JR留萌本線,141.7638 ,43.8473 
JR富良野線,142.4293 ,43.6098 
JR宗谷本線,142.2256 ,44.6587 
JR石北本線,143.3629 ,43.9614 
JR釧網本線,144.4338 ,43.5237 
JR海峡線,140.3290 ,41.3666 
JR江差線,140.4168 ,41.7754 
JR東北本線(八戸～青森),141.1472 ,40.6979 
JR奥羽本線(新庄～青森),140.4427 ,39.9223 
JR東北本線(黒磯～利府・盛岡),140.8981 ,38.4614 
JR大湊線,141.2342 ,41.0770 
JR五能線,140.1536 ,40.6225 
JR津軽線,140.6380 ,40.9972 
JR八戸線,141.7019 ,40.4026 
JR岩泉線,141.7111 ,39.7526 
JR大船渡線,141.4724 ,38.9616 
JR釜石線,141.5279 ,39.3264 
JR北上線,140.8466 ,39.3047 
JR田沢湖線,140.7686 ,39.6934 
JR花輪線,140.8453 ,40.1337 
JR山田線,141.6668 ,39.5969 
JR羽越本線,139.7618 ,38.7329 
JR男鹿線,139.9587 ,39.8924 
JR奥羽本線(福島～新庄),140.2834 ,38.3077 
JR仙山線,140.5996 ,38.3147 
JR左沢線,140.2808 ,38.3357 
JR米坂線,139.7704 ,38.0450 
JR陸羽西線,140.0962 ,38.7553 
JR陸羽東線,140.6813 ,38.7300 
JR仙石線,141.0726 ,38.3663 
JR石巻線,141.2523 ,38.4869 
JR気仙沼線,141.4645 ,38.6962 
JR磐越西線(郡山～会津若松),140.1308 ,37.5177 
JR磐越西線,139.1214 ,37.8004 
JR只見線,139.4478 ,37.3918 
JR磐越東線,140.6426 ,37.2698 
JR常磐線(取手～いわき),140.5189 ,36.5190 
JR常磐線(いわき～仙台),140.9334 ,37.6616 
JR東海道本線(東京～熱海),139.4302 ,35.3951 
JR山手線,139.7352 ,35.6930 
JR南武線,139.5622 ,35.6213 
JR鶴見線,139.6973 ,35.5032 
JR武蔵野線,139.7051 ,35.8026 
JR横浜線,139.4711 ,35.5610 
JR根岸線,139.5987 ,35.4148 
JR横須賀線,139.6476 ,35.4834 
JR相模線,139.3678 ,35.4832 
JR中央本線(東京～塩尻),138.6174 ,35.7704 
JR中央線(快速),139.5380 ,35.7002 
JR中央・総武緩行線,139.8372 ,35.7016 
JR総武本線,140.2547 ,35.6879 
JR青梅線,139.2400 ,35.7826 
JR五日市線,139.2917 ,35.7258 
JR八高線(八王子～高麗川),139.3330 ,35.7805 
JR八高線(高麗川～高崎),139.1797 ,36.1210 
JR東北本線,139.8464 ,36.3794 
JR常磐線(上野～取手),139.9238 ,35.8197 
JR埼京線,139.6182 ,35.8032 
JR川越線,139.4693 ,35.9096 
JR高崎線,139.4522 ,36.0957 
JR外房線,140.2798 ,35.3487 
JR内房線,139.9481 ,35.2933 
JR京葉線,139.9361 ,35.6436 
JR成田線,140.3724 ,35.8628 
JR成田エクスプレス,139.7572 ,35.6921 
JR鹿島線,140.5647 ,35.9427 
JR久留里線,140.0465 ,35.3507 
JR東金線,140.3681 ,35.5623 
JR京浜東北線,139.6425 ,35.6393 
JR湘南新宿ライン,139.6229 ,35.6574 
上野東京ライン,139.7721 ,35.6975 
JR烏山線,140.0650 ,36.6587 
JR吾妻線,138.7913 ,36.5520 
JR信越本線,138.8808 ,36.3304 
JR水郡線,140.4622 ,36.9220 
JR水戸線,140.0513 ,36.3336 
JR日光線,139.7529 ,36.6361 
JR両毛線,139.3879 ,36.3568 
JR上越線,138.8924 ,36.9154 
JR小海線,138.4220 ,36.3263 
JR身延線,138.5324 ,35.3922 
JR信越本線(篠ノ井～長野),138.1598 ,36.6086 
JR信越本線(直江津～新潟),138.7595 ,37.5111 
JR北陸本線(富山～直江津),137.7185 ,37.0150 
JR白新線,139.1905 ,37.9240 
JR飯山線,138.5417 ,36.9845 
JR越後線,138.8340 ,37.6267 
JR大糸線,137.8735 ,36.6761 
JR弥彦線,138.9044 ,37.6733 
JR中央本線(名古屋～塩尻),137.4685 ,35.6625 
JR篠ノ井線,138.0173 ,36.3842 
JR飯田線(豊橋～天竜峡),137.6689 ,35.1256 
JR飯田線(天竜峡～辰野),137.8986 ,35.7599 
JR北陸本線(米原～敦賀),136.4425 ,36.3339 
JR高山本線,137.1437 ,36.0351 
JR城端線,136.9631 ,36.6469 
JR氷見線,137.0168 ,36.8060 
