Country,Number,Y,X
韓國,1917 ,37.3059 ,129.6806 
台灣,1819 ,24.4945 ,121.6255 
中國,2561 ,29.6097 ,115.0798 
香港,926 ,22.2860 ,114.3612 
泰國,742 ,15.6888 ,106.4889 
新加坡,330 ,1.3809 ,103.9565 
馬來西亞,278 ,5.5637 ,118.5171 
美國,1211 ,51.1493 ,-82.1042 
加拿大,272 ,60.1320 ,-67.7871 
英國,300 ,59.4380 ,2.9310 
德國,196 ,52.3923 ,15.6507 
法國,264 ,46.3387 ,9.2049 
意大利,196 ,41.9561 ,16.1289 
西班牙,208 ,36.1662 ,0.7850 
澳大利亞,424 ,-14.2879 ,152.7969 
印度,173 ,25.4472 ,89.8058 
印尼,323 ,4.7114 ,142.5421 
菲律賓,293 ,13.3601 ,126.2363 
越南,190 ,15.2965 ,108.7997 
俄羅斯,164 ,23.9896 ,162.2383 
