Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,名稱,地址
上石原若宮八幡神社,,,,,,-1,0,-1,,,上石原若宮八幡神社,東京都調布市下石原3-5-1
芸能美術文庫PAL,,,,,,-1,0,-1,,,芸能美術文庫PAL,東京都調布市国領1-30-3プレステージⅡB1
常性寺,,,,,,-1,0,-1,,,常性寺,東京都調布市国領町1-2-8
國領神社,,,,,,-1,0,-1,,,國領神社,東京都調布市国領町1-7-1
染地せせらぎの散歩道,,,,,,-1,0,-1,,,染地せせらぎの散歩道,東京都調布市国領町7-13
虎狛神社,,,,,,-1,0,-1,,,虎狛神社,東京都調布市佐須町1-14-3
祇園寺,,,,,,-1,0,-1,,,祇園寺,東京都調布市佐須町2-18-1
武者小路実篤記念館・実篤公園,,,,,,-1,0,-1,,,武者小路実篤記念館・実篤公園,東京都調布市若葉町1-8-30
寺町,,,,,,-1,0,-1,,,寺町,東京都調布市若葉町1丁目
大坂,,,,,,-1,0,-1,,,大坂,東京都調布市若葉町3丁目
イオンシネマ シアタス調布,,,,,,-1,0,-1,,,イオンシネマ シアタス調布,東京都調布市小島町2-61-1トリエ京王調布Ｃ館
郷土博物館,,,,,,-1,0,-1,,,郷土博物館,東京都調布市小島町3-26-2
西光寺,,,,,,-1,0,-1,,,西光寺,東京都調布市上石原1-28-3
深大にぎわいの里「調布卸売センター」,,,,,,-1,0,-1,,,深大にぎわいの里「調布卸売センター」,東京都調布市深大寺元町1-11-1
深大寺天然温泉「湯守の里」,,,,,,-1,0,-1,,,深大寺天然温泉「湯守の里」,東京都調布市深大寺元町2-12-2
水生植物園・深大寺城跡,,,,,,-1,0,-1,,,水生植物園・深大寺城跡,東京都調布市深大寺元町2丁目
深大寺水車館,,,,,,-1,0,-1,,,深大寺水車館,東京都調布市深大寺元町5-10-6
深大寺,,,,,,-1,0,-1,,,深大寺,東京都調布市深大寺元町5-15-1
青渭神社,,,,,,-1,0,-1,,,青渭神社,東京都調布市深大寺元町5-17-10
都立神代植物公園,,,,,,-1,0,-1,,,都立神代植物公園,東京都調布市深大寺元町5-31-10
JAXA調布航空宇宙センター,,,,,,-1,0,-1,,,JAXA調布航空宇宙センター,東京都調布市深大寺東町7-44-1
深大寺自然広場・野草園,,,,,,-1,0,-1,,,深大寺自然広場・野草園,東京都調布市深大寺南町1-25
常楽院（思い出のアルバム歌碑）,,,,,,-1,0,-1,,,常楽院（思い出のアルバム歌碑）,東京都調布市西つつじヶ丘4-9-1
武蔵野の森総合スポーツプラザ,,,,,,-1,0,-1,,,武蔵野の森総合スポーツプラザ,東京都調布市西町290-11
調布飛行場,,,,,,-1,0,-1,,,調布飛行場,東京都調布市西町290-3
味の素スタジアム,,,,,,-1,0,-1,,,味の素スタジアム,東京都調布市西町376-3
せんがわ劇場,,,,,,-1,0,-1,,,せんがわ劇場,東京都調布市仙川町1-21-5
東京アートミュージアム,,,,,,-1,0,-1,,,東京アートミュージアム,東京都調布市仙川町1-25-1
天神通り,,,,,,-1,0,-1,,,天神通り,東京都調布市仙川町1丁目25-5
仙川一里塚跡,,,,,,-1,0,-1,,,仙川一里塚跡,東京都調布市仙川町3-2-1
昌翁寺,,,,,,-1,0,-1,,,昌翁寺,東京都調布市仙川町3-7-1
日活調布撮影所・日活撮影所の碑,,,,,,-1,0,-1,,,日活調布撮影所・日活撮影所の碑,東京都調布市染地2-8-12
彫刻のある散歩路,,,,,,-1,0,-1,,,彫刻のある散歩路,東京都調布市染地2丁目
京王フローラルガーデン アンジェ,,,,,,-1,0,-1,,,京王フローラルガーデン アンジェ,東京都調布市多摩川4-38
映画俳優の碑と調布・映画発祥の碑,,,,,,-1,0,-1,,,映画俳優の碑と調布・映画発祥の碑,東京都調布市多摩川5-3
角川大映スタジオ,,,,,,-1,0,-1,,,角川大映スタジオ,東京都調布市多摩川6-1-1
大正寺,,,,,,-1,0,-1,,,大正寺,東京都調布市調布ヶ丘1-22-1
布多天神社,,,,,,-1,0,-1,,,布多天神社,東京都調布市調布ヶ丘1-8-1
大寒桜,,,,,,-1,0,-1,,,大寒桜,東京都調布市調布ヶ丘3丁目
明照院・槽嶺神社,,,,,,-1,0,-1,,,明照院・槽嶺神社,東京都調布市入間町2-19-12，13
覚證寺,,,,,,-1,0,-1,,,覚證寺,東京都調布市富士見町1-35-5
下石原八幡神社,,,,,,-1,0,-1,,,下石原八幡神社,東京都調布市富士見町2-1-11
サレジオ神学院,,,,,,-1,0,-1,,,サレジオ神学院,東京都調布市富士見町3-21-12
妖怪ポスト＆調布駅北第１自転車駐輪場,,,,,,-1,0,-1,,,妖怪ポスト＆調布駅北第１自転車駐輪場,東京都調布市布田1-28-3
鬼太郎マンホール,,,,,,-1,0,-1,,,鬼太郎マンホール,東京都調布市布田1丁目（電通大通り）
下布田遺跡・郷土博物館分室,,,,,,-1,0,-1,,,下布田遺跡・郷土博物館分室,東京都調布市布田6-61
近藤勇の生家跡,,,,,,-1,0,-1,,,近藤勇の生家跡,東京都調布市野水1-6-8
