名稱,市町村名,緯度,經度,施設URL
小田急 新宿駅,新宿区,35.6913 ,139.6996 ,https://www.odakyu.jp/
京王 新宿駅,新宿区,35.6902 ,139.6992 ,https://www.keio.co.jp/train/station/index.html
東京メトロ 新宿駅,新宿区,35.6924 ,139.7009 ,https://www.tokyometro.jp/station/shinjuku/
西武鉄道 西武新宿駅,新宿区,35.6954 ,139.7000 ,https://www.seiburailway.jp/
東京メトロ 銀座駅,中央区,35.6723 ,139.7636 ,https://www.tokyometro.jp/station/ginza/
東京メトロ 有楽町駅,千代田区,35.6757 ,139.7635 ,https://www.tokyometro.jp/station/yurakucho/
東京メトロ 浅草駅,台東区,35.7107 ,139.7977 ,https://www.tokyometro.jp/station/asakusa/
東武 浅草駅,台東区,35.7119 ,139.7983 ,https://railway.tobu.co.jp/guide/station/info/1102.html
東京メトロ 渋谷駅（銀座線）,渋谷区,35.6588 ,139.7019 ,https://www.tokyometro.jp/station/shibuya/
京王 渋谷駅,渋谷区,35.6580 ,139.6983 ,https://www.keio.co.jp/train/station/index.html
つくばエクスプレス 秋葉原駅,千代田区,35.6987 ,139.7742 ,http://www.mir.co.jp
東京メトロ 秋葉原駅,千代田区,35.6981 ,139.7755 ,https://www.tokyometro.jp/station/akihabara/
東京メトロ 東京駅,千代田区,35.6823 ,139.7650 ,https://www.tokyometro.jp/station/tokyo/
東京メトロ 大手町駅,千代田区,35.6853 ,139.7631 ,https://www.tokyometro.jp/station/otemachi/
東京メトロ 上野駅,台東区,35.7114 ,139.7772 ,https://www.tokyometro.jp/station/ueno/
東京メトロ 明治神宮前駅,渋谷区,35.6691 ,139.7040 ,https://www.tokyometro.jp/station/meiji-jingumae/
東京メトロ 表参道駅,港区,35.6652 ,139.7126 ,https://www.tokyometro.jp/station/omote-sando/
東京メトロ 青山一丁目駅,港区,35.6728 ,139.7241 ,https://www.tokyometro.jp/station/aoyama-itchome/
東京メトロ 外苑前駅,港区,35.6706 ,139.7179 ,https://www.tokyometro.jp/station/gaiemmae/
ゆりかもめ お台場海浜公園駅,港区,35.6299 ,139.7788 ,https://www.yurikamome.co.jp/station-timetable/u-06.html
ゆりかもめ 台場駅,港区,35.6259 ,139.7714 ,https://www.yurikamome.co.jp/station-timetable/u-07.html
東京臨海高速鉄道 東京テレポート駅,江東区,35.6275 ,139.7788 ,https://www.twr.co.jp/route/tabid/112/Default.aspx
ゆりかもめ 東京ビッグサイト駅,江東区,35.6302 ,139.7914 ,https://www.yurikamome.co.jp/station-timetable/u-11.html
ゆりかもめ 新豊洲駅,江東区,35.6487 ,139.7901 ,https://www.yurikamome.co.jp/station-timetable/u-15.html
ゆりかもめ 有明テニスの森駅,江東区,35.6400 ,139.7888 ,https://www.yurikamome.co.jp/station-timetable/u-13.html
東京臨海高速鉄道 国際展示場駅,江東区,35.6344 ,139.7916 ,https://www.twr.co.jp/route/tabid/110/Default.aspx
東京メトロ 新木場駅,江東区,35.6459 ,139.8265 ,https://www.tokyometro.jp/station/shin-kiba/
東京臨海高速鉄道 新木場駅,江東区,35.6461 ,139.8271 ,https://www.twr.co.jp/route/tabid/106/Default.aspx
東京メトロ 辰巳駅,江東区,35.6456 ,139.8105 ,https://www.tokyometro.jp/station/tatsumi/
東京メトロ 赤坂駅,港区,35.6723 ,139.7364 ,https://www.tokyometro.jp/station/akasaka/
東京メトロ 六本木駅,港区,35.6626 ,139.7309 ,https://www.tokyometro.jp/station/roppongi/
東京メトロ 赤坂見附駅,港区,35.6773 ,139.7370 ,https://www.tokyometro.jp/station/akasaka-mitsuke/
