名稱,市町村名,緯度,經度,電話號碼,網址
ホテルマイステイズ羽田,大田区,35.5510 ,139.7492 ,(03)6863-5539,https://www.mystays.com/hotel-mystays-haneda-tokyo/
ホテルマイステイズプレミア大森,品川区,35.5905 ,139.7325 ,(03)3766-7001,https://www.mystays.com/hotel-mystays-premier-omori-tokyo/
スーパーホテル東京錦糸町駅前,墨田区,35.6978 ,139.8115 ,(03)6853-9000,https://www.superhotel.co.jp/s_hotels/kinshicho/
奥多摩の風はとのす荘,西多摩郡奥多摩町,35.8135 ,139.1272 ,(042)884-7123,https://www.okutamas.co.jp/hatonosu/
日本青年館ホテル,新宿区,35.6745 ,139.7155 ,(03)3401-0101,https://nippon-seinenkan.or.jp/
ホテルニューショーヘイ,新宿区,35.6868 ,139.7283 ,(03)3357-0551,https://www.new-shohei.jp/
ダイワロイネットホテル東京赤羽,北区,35.7776 ,139.7226 ,(03)5249-4055,https://www.daiwaroynet.jp/akabane/room/
JR東日本ホテルメッツ赤羽,北区,35.7789 ,139.7208 ,(03)5939-0011,http://www.hotelmets.jp/akabane/stay.html
ホテルモントレ赤坂,港区,35.6755 ,139.7327 ,(03)3401-7111,https://www.hotelmonterey.co.jp/akasaka/
ホテルミュッセ銀座名鉄,中央区,35.6678 ,139.7635 ,(03)3541-3535,https://www.m-inn.com/musse/ginza/
西鉄イン新宿,新宿区,35.6943 ,139.6943 ,(03)3367-5454,https://nnr-h.com/n-inn/shinjuku/
丸の内ホテル,千代田区,35.6834 ,139.7666 ,(03)3217-1111,https://www.marunouchi-hotel.co.jp/
スーパーホテルLohas赤坂,港区,35.6746 ,139.7364 ,(03)6843-9000,https://www.superhotel.co.jp/s_hotels/akasaka/
JR東日本ホテルメッツ田端,北区,35.7390 ,139.7618 ,(03)3810-2255,https://www.hotelmets.jp/tabata/
株式会社東横イン鶯谷駅前,台東区,35.7215 ,139.7801 ,(03)5824-1045,https://www.toyoko-inn.com/search/detail/00135
ホテルサンルートプラザ新宿,渋谷区,35.6873 ,139.6993 ,(03)3375-3211,https://sunrouteplazashinjuku.jp/
株式会社東横イン浅草千束つくばエクスプレス,台東区,35.7184 ,139.7925 ,(03)3873-1045,https://www.toyoko-inn.com/search/detail/00012/
東横イン羽田空港 ２,大田区,35.5521 ,139.7417 ,(03)5735-1045,https://www.toyoko-inn.com/search/detail/00068/
ヴィアイン秋葉原,千代田区,35.6965 ,139.7723 ,(03)5577-5489,https://www.viainn.com/akihabara/
スーパーホテル品川・新馬場,品川区,35.6173 ,139.7443 ,(03)6890-9000,https://www.superhotel.co.jp/s_hotels/shinbanba/
ミレニアム三井ガーデンホテル東京,中央区,35.6700 ,139.7661 ,(03)3549-3331,http://www.gardenhotels.co.jp/millennium-tokyo/room/accessible/
京成リッチモンドホテル東京門前仲町,江東区,35.6729 ,139.7955 ,(03)5646-5300,https://richmondhotel.jp/monzennakacho/
アパホテル〈上野駅北〉,台東区,35.7159 ,139.7805 ,(03)5830-1711,https://www.apahotel.com/hotel/shutoken/tokyo/ueno-ekikita/
フォーレスト本郷,文京区,35.7132 ,139.7582 ,(03)3813-4408,https://www.forest-hongo.com/
Tマークシティホテル東京大森,大田区,35.5871 ,139.7362 ,(03)5764-1810,https://tmarkcity.com/tokyo-omori
