都道府縣,市町村名,名稱,地址,緯度,經度
東京都,青梅市,武蔵御嶽神社,東京都青梅市御岳山176,35.78 ,139.15 
東京都,青梅市,御岳２丁目神路橋トイレ,東京都青梅市御岳2-271,35.80 ,139.18 
東京都,青梅市,御岳苑地駐車場,東京都青梅市御岳1-190-3,35.80 ,139.18 
東京都,青梅市,御岳苑地駐車場トイレ,東京都青梅市御岳1-190-3,35.80 ,139.18 
東京都,青梅市,玉堂美術館,東京都青梅市御岳1-75,35.80 ,139.18 
東京都,青梅市,御岳交流センター,東京都青梅市御岳本町362-8,35.80 ,139.18 
東京都,青梅市,御岳１丁目駐車場,東京都青梅市御岳1-3-4,35.80 ,139.19 
東京都,青梅市,御岳1丁目駐車場トイレ,東京都青梅市御岳1-3,35.80 ,139.19 
東京都,青梅市,沢井３丁目御岳渓谷遊歩道トイレ,東京都青梅市沢井3-491-1,35.81 ,139.19 
東京都,青梅市,小澤酒造,東京都青梅市沢井2-770,35.80 ,139.19 
東京都,青梅市,櫛かんざし美術館,東京都青梅市柚木町3-764-1,35.80 ,139.20 
東京都,青梅市,二俣尾５丁目高源寺前トイレ,東京都青梅市二俣尾5-1610,35.82 ,139.20 
東京都,青梅市,柚木苑地駐車場トイレ,東京都青梅市柚木町3-643,35.80 ,139.21 
東京都,青梅市,柚木苑地駐車場,東京都青梅市柚木町3-643,35.80 ,139.21 
東京都,青梅市,梅郷４丁目梅郷ゴルフ前トイレ,東京都青梅市梅郷4-1834,35.79 ,139.22 
東京都,青梅市,木原梅園,東京都青梅市梅郷4-642-3他,35.79 ,139.22 
東京都,青梅市,中道梅園トイレ,東京都青梅市梅郷4-658-5,35.79 ,139.22 
東京都,青梅市,中道梅園,東京都青梅市梅郷4-658-5,35.79 ,139.22 
東京都,青梅市,梅郷４丁目駐車場,東京都青梅市梅郷4-680-3,35.79 ,139.22 
東京都,青梅市,青梅丘陵ハイキングコーストイレ,東京都青梅市黒沢3-1992-26,35.79 ,139.24 
東京都,青梅市,昭和レトロ商品博物館,東京都青梅市住江町65,35.79 ,139.26 
東京都,青梅市,青梅鉄道公園,東京都青梅市勝沼2-155,35.79 ,139.26 
東京都,青梅市,塩船観音寺,東京都青梅市塩船194,35.80 ,139.28 
東京都,青梅市,儘多屋,東京都青梅市小曾木5-3140,35.83 ,139.29 
